ncols         25
nrows         14
xllcorner     5513099.622
yllcorner     5897232.357
cellsize      50
NODATA_value  -9999
151	151	151	151	151	151	151	151	151	151	151	151	133	151	151	151	151	151	151	151	151	151	151	151	151
151	151	151	151	151	151	151	151	151	151	151	151	132	151	151	151	151	151	151	151	151	151	151	151	151
150	150	150	150	150	150	150	150	150	150	150	150	131	150	150	150	150	150	150	150	150	150	150	150	150
149	149	149	149	149	149	149	149	149	149	149	149	130	149	149	149	149	149	149	149	149	149	149	149	149
148	148	148	148	148	148	148	148	148	148	148	148	129	148	148	148	148	148	148	148	148	148	148	148	148
147	147	147	147	147	147	147	147	147	147	147	147	128	147	147	147	147	147	147	147	147	147	147	147	147
144	143	142	141	140	139	138	137	136	135	134	133	127	133	134	135	136	137	138	139	140	141	142	143	144
147	147	147	147	147	147	147	147	147	147	147	147	126	147	147	147	147	147	147	147	147	147	147	147	147
148	148	148	148	148	148	148	148	148	148	148	148	125	148	148	148	148	148	148	148	148	148	148	148	148
149	149	149	149	149	149	149	149	149	149	149	149	124	149	149	149	149	149	149	149	149	149	149	149	149
150	150	150	150	150	150	150	150	150	150	150	150	123	150	150	150	150	150	150	150	150	150	150	150	150
151	151	151	151	151	151	151	151	151	151	151	151	122	151	151	151	151	151	151	151	151	151	151	151	151
151	151	151	151	151	151	151	151	151	151	151	151	121	151	151	151	151	151	151	151	151	151	151	151	151
151	151	151	151	151	151	151	151	151	151	151	151	120	151	151	151	151	151	151	151	151	151	151	151	151
