ncols         25
nrows         14
xllcorner     5513099.622
yllcorner     5897232.357
cellsize      50
NODATA_value  -9999
139	139	139	139	139	139	139	139	139	139	139	139	121	139	139	139	139	139	139	139	139	139	139	139	139
139	139	139	139	139	139	139	139	139	139	139	139	120	139	139	139	139	139	139	139	139	139	139	139	139
138	138	138	138	138	138	138	138	138	138	138	138	119	138	138	138	138	138	138	138	138	138	138	138	138
137	137	137	137	137	137	137	137	137	137	137	137	118	137	137	137	137	137	137	137	137	137	137	137	137
136	136	136	136	136	136	136	136	136	136	136	136	117	136	136	136	136	136	136	136	136	136	136	136	136
135	135	135	135	135	135	135	135	135	135	135	135	116	135	135	135	135	135	135	135	135	135	135	135	135
132	131	130	129	128	127	126	125	124	123	122	121	115	121	122	123	124	125	126	127	128	129	130	131	132
135	135	135	135	135	135	135	135	135	135	135	135	114	135	135	135	135	135	135	135	135	135	135	135	135
136	136	136	136	136	136	136	136	136	136	136	136	113	136	136	136	136	136	136	136	136	136	136	136	136
137	137	137	137	137	137	137	137	137	137	137	137	112	137	137	137	137	137	137	137	137	137	137	137	137
138	138	138	138	138	138	138	138	138	138	138	138	111	138	138	138	138	138	138	138	138	138	138	138	138
139	139	139	139	139	139	139	139	139	139	139	139	110	139	139	139	139	139	139	139	139	139	139	139	139
139	139	139	139	139	139	139	139	139	139	139	139	109	139	139	139	139	139	139	139	139	139	139	139	139
139	139	139	139	139	139	139	139	139	139	139	139	108	139	139	139	139	139	139	139	139	139	139	139	139




